lik,Country
AD1,Pakistan
AD2,Philippines
AD3,Pakistan
AD4,Ghana
AD5,Ghana
AD6,Ghana
AD7,Timor-Leste
AD8,Timor-Leste
AD9,Kyrgyzstan
AD10,Sri Lanka
AD11,Worldwide
AD12,Central African Republic
AD12,Somalia
AD13,Worldwide
AD14,Worldwide
AD15,Worldwide
AD16,Latin America and Caribbean
AD16,West Africa
AD16,South Africa
AD16,North Africa and Middle East
AD16,Central Africa
AD16,Eastern Africa
AD16,Southern Africa
AD17,North Africa and Middle East
AD17,Central Asia
AD17,South Asia
AD17,East Asia and Pacific
AD17,West Africa
AD17,South Africa
AD17,Central Africa
AD17,Eastern Africa
AD17,Southern Africa
AD18,Pakistan
AD18,Tajikistan
AD18,Afghanistan
AD18,Kyrgyzstan
AD19,Kazakhstan
AD19,Kyrgyzstan
AD19,Tajikistan
AD19,Turkmenistan
AD19,Uzbekistan
AD20,Kazakhstan
AD20,Kyrgyzstan
AD20,Tajikistan
AD20,Turkmenistan
AD20,Uzbekistan
AD21,Kazakhstan
AD21,Kyrgyzstan
AD21,Tajikistan
AD21,Turkmenistan
AD21,Uzbekistan
AD22,Kazakhstan
AD22,Kyrgyzstan
AD22,Tajikistan
AD22,Turkmenistan
AD22,Uzbekistan
AD22,Afghanistan
AD23,Kazakhstan
AD23,Kyrgyzstan
AD23,Tajikistan
AD23,Turkmenistan
AD23,Uzbekistan
AD23,Afghanistan
AD23,Mongolia
AD24,Uzbekistan
AD25,Uzbekistan
AD26,Senegal
AD27,Djibouti
AD28,Dominican Republic
AD29,Maldives
AD30,Myanmar
AD31,Nigeria
AD32,Trinidad and Tobago
AD33,Cuba
AD34,Cote d Ivoire
AD35,Cambodia
AD36,West Africa
AD36,South Africa
AD36,North Africa and Middle East
AD36,Central Africa
AD36,Eastern Africa
AD36,Southern Africa
AD36,Latin America and Caribbean
AD37,Cambodia
AD38,Cambodia
AD39,Nepal
AD40,Myanmar
AD41,East Asia and Pacific
AD41,Central Asia
AD41,South Asia
AD42,East Asia and Pacific
AD42,South Asia
AD42,Central Asia
AD43,East Asia and Pacific
AD43,South Asia
AD43,Central Asia
AD43,Iraq
AD44,Papua New Guinea
AD45,Myanmar
AD46,Worldwide
AD47,Worldwide
AD48,Lesotho
AD48,Tanzania
AD48,Tuvalu
AD48,Uganda
AD48,Bangladesh
AD48,Benin
AD48,Cambodia
AD48,Ghana
AD48,Laos
AD48,Mali
AD48,Mozambique
AD48,Nepal
AD48,Niger
AD48,Bhutan
AD49,Ethiopia
AD49,Burkina Faso
AD49,Niger
AD49,Benin
AD49,Indonesia
AD49,Philippines
AD49,Worldwide
AD50,South Asia
AD50,East Asia and Pacific
AD50,Central Asia
AD50,West Africa
AD50,Latin America and Caribbean
AD51,Barbados
AD51,Brazil
AD51,Burkina Faso
AD51,China
AD51,Ghana
AD51,Guyana
AD51,Mauritius
AD51,Mongolia
AD51,Kyrgyzstan
AD51,Peru
AD51,Senegal
AD51,South Africa
AD51,Uruguay
AD51,Afghanistan
AD51,Argentina
AD51,Belarus
AD51,Benin
AD51,Dominican Republic
AD51,Ecuador
AD51,India
AD51,Iraq
AD51,Kenya
AD51,Kiribati
AD51,Macedonia (FYROM)
AD51,Moldova
AD51,Nigeria
AD51,Papua New Guinea
AD51,Serbia
AD51,Gambia
AD51,Tanzania
AD51,Uganda
AD51,Ukraine
AD51,Viet Nam
AD52,Yemen
AD53,Yemen
AD54,Iraq
